,filename,class,folder
234,backup_38435a10-bcdd-4b6e-9f4d-080b7f3544c9__v2,Gunshot,gunshots
237,backup_f235dd1e-d103-4639-b1e7-cdf0731fa121__v3,Gunshot,gunshots
239,backup_4115d032-3f33-407b-ab54-ca8b9433fe30__v0,Gunshot,gunshots
240,bb5a8b3f-3724-456e-83e1-55f5ca5ac68a_chan6_v0,Gunshot,gunshots
241,bb5a8b3f-3724-456e-83e1-55f5ca5ac68a_chan5_v0,Gunshot,gunshots
242,backup_d3900443-f7b7-4802-9649-d71b5d068ba2__v3,Gunshot,gunshots
245,backup_f235dd1e-d103-4639-b1e7-cdf0731fa121__v2,Gunshot,gunshots
249,backup_d3900443-f7b7-4802-9649-d71b5d068ba2__v1,Gunshot,gunshots
250,bb5a8b3f-3724-456e-83e1-55f5ca5ac68a_chan3_v0,Gunshot,gunshots
251,backup_4115d032-3f33-407b-ab54-ca8b9433fe30__v1,Gunshot,gunshots
252,bb5a8b3f-3724-456e-83e1-55f5ca5ac68a_chan0_v0,Gunshot,gunshots
253,backup_d9b053a4-1ce8-4d8c-b780-f321568d51e4__v2,Gunshot,gunshots
258,d1fa442d-a890-42c4-b186-f5196099ace7_chan0_v0,Gunshot,gunshots
261,d1fa442d-a890-42c4-b186-f5196099ace7_chan4_v0,Gunshot,gunshots
266,bc2ffbf7-02f2-43de-8d9a-92bcad324f61_v0,Gunshot,gunshots
269,d1fa442d-a890-42c4-b186-f5196099ace7_chan5_v0,Gunshot,gunshots
271,d1fa442d-a890-42c4-b186-f5196099ace7_chan1_v0,Gunshot,gunshots
283,c52bfe4e-2a1d-44ca-9bfc-400bbf50d6a7_v0,Gunshot,gunshots
284,bc6da562-692d-40f6-b255-d63d86184c7f_v0,Gunshot,gunshots
286,d5a15ea9-1077-4e5f-80a1-c4e856231489_chan5_v0,Gunshot,gunshots
287,d41d4367-070a-48f8-b457-7f0897caea99_v1,Gunshot,gunshots
288,d31ded50-a23a-4ca0-b528-3fed60c7a647_chan5_v0,Gunshot,gunshots
289,d3a364a1-f1fa-402b-8e7a-d7f57192508c_chan5_v0,Gunshot,gunshots
291,d31ded50-a23a-4ca0-b528-3fed60c7a647_chan6_v0,Gunshot,gunshots
292,d3a364a1-f1fa-402b-8e7a-d7f57192508c_chan4_v0,Gunshot,gunshots
293,d5a15ea9-1077-4e5f-80a1-c4e856231489_chan6_v0,Gunshot,gunshots
297,d5a15ea9-1077-4e5f-80a1-c4e856231489_chan2_v0,Gunshot,gunshots
298,d5a15ea9-1077-4e5f-80a1-c4e856231489_chan4_v0,Gunshot,gunshots
299,d41d4367-070a-48f8-b457-7f0897caea99_v0,Gunshot,gunshots
300,d31ded50-a23a-4ca0-b528-3fed60c7a647_chan4_v0,Gunshot,gunshots
301,d31ded50-a23a-4ca0-b528-3fed60c7a647_chan0_v0,Gunshot,gunshots
302,d1fa442d-a890-42c4-b186-f5196099ace7_chan6_v0,Gunshot,gunshots
303,d3a364a1-f1fa-402b-8e7a-d7f57192508c_mean_v0,Gunshot,gunshots
304,d31ded50-a23a-4ca0-b528-3fed60c7a647_mean_v0,Gunshot,gunshots
305,d31ded50-a23a-4ca0-b528-3fed60c7a647_chan3_v0,Gunshot,gunshots
308,d3b21ae5-ad50-4b1a-a06b-9be63f42e33e_v0,Gunshot,gunshots
309,d5a15ea9-1077-4e5f-80a1-c4e856231489_chan0_v0,Gunshot,gunshots
310,d3a364a1-f1fa-402b-8e7a-d7f57192508c_chan2_v0,Gunshot,gunshots
311,d31ded50-a23a-4ca0-b528-3fed60c7a647_chan2_v0,Gunshot,gunshots
312,d3a364a1-f1fa-402b-8e7a-d7f57192508c_chan6_v0,Gunshot,gunshots
314,d5a15ea9-1077-4e5f-80a1-c4e856231489_chan3_v0,Gunshot,gunshots
315,d1fa442d-a890-42c4-b186-f5196099ace7_mean_v0,Gunshot,gunshots
324,d94fe70a-5f33-4b6a-be9d-8a219e20a181_v0,Gunshot,gunshots
327,dbaa31e2-dcae-44f3-98c1-7c820d128f78_v0,Gunshot,gunshots
334,df5dad7d-17e3-40bd-96ef-c77246c84283_v0,Gunshot,gunshots
336,eafb4d3c-bf69-49de-92fb-436003c27742_chan6_v0,Gunshot,gunshots
337,e4015a40-425e-4a6d-8b20-743abb46c8d9_mean_v0,Gunshot,gunshots
338,eafb4d3c-bf69-49de-92fb-436003c27742_chan1_v0,Gunshot,gunshots
340,ea3ba9e7-1b6a-4ba1-afff-bc3543d9a61d_chan0_v0,Gunshot,gunshots
341,e4015a40-425e-4a6d-8b20-743abb46c8d9_chan1_v0,Gunshot,gunshots
342,ea3ba9e7-1b6a-4ba1-afff-bc3543d9a61d_mean_v0,Gunshot,gunshots
344,ea3ba9e7-1b6a-4ba1-afff-bc3543d9a61d_chan6_v0,Gunshot,gunshots
347,eafb4d3c-bf69-49de-92fb-436003c27742_chan0_v0,Gunshot,gunshots
349,ea3ba9e7-1b6a-4ba1-afff-bc3543d9a61d_chan4_v0,Gunshot,gunshots
350,ea3ba9e7-1b6a-4ba1-afff-bc3543d9a61d_chan1_v0,Gunshot,gunshots
352,e4aadaa4-c923-40a3-9739-84d021e5be2d_v0,Gunshot,gunshots
355,eafb4d3c-bf69-49de-92fb-436003c27742_chan4_v0,Gunshot,gunshots
357,e4015a40-425e-4a6d-8b20-743abb46c8d9_chan0_v0,Gunshot,gunshots
360,eafb4d3c-bf69-49de-92fb-436003c27742_chan3_v0,Gunshot,gunshots
362,eafb4d3c-bf69-49de-92fb-436003c27742_chan2_v0,Gunshot,gunshots
365,e4f6ae86-2eda-4385-8d37-556bc806b983_v0,Gunshot,gunshots
370,efb94f95-0631-4fd6-a532-dc3876ac3368_v0,Gunshot,gunshots
371,ed8d991f-9e68-4630-9f2f-4442fdb0be6f_chan3_v0,Gunshot,gunshots
373,ed8d991f-9e68-4630-9f2f-4442fdb0be6f_chan0_v0,Gunshot,gunshots
376,ed8d991f-9e68-4630-9f2f-4442fdb0be6f_chan2_v0,Gunshot,gunshots
377,eafb4d3c-bf69-49de-92fb-436003c27742_mean_v0,Gunshot,gunshots
378,ee3ef4e5-4462-40e8-9f4f-33e8b52def35_v1,Gunshot,gunshots
379,ed8d991f-9e68-4630-9f2f-4442fdb0be6f_mean_v0,Gunshot,gunshots
380,ee3ef4e5-4462-40e8-9f4f-33e8b52def35_v3,Gunshot,gunshots
382,f813e943-99a2-46e4-b2f6-9867e87d35cc_v0,Gunshot,gunshots
383,eb455e19-de3e-4198-accd-5aa97ffd1b78_v0,Gunshot,gunshots
388,ed8d991f-9e68-4630-9f2f-4442fdb0be6f_chan5_v0,Gunshot,gunshots
389,fafcea59-e153-45f0-a400-8a6d91a83517_v0,Gunshot,gunshots
390,ee3ef4e5-4462-40e8-9f4f-33e8b52def35_v2,Gunshot,gunshots
391,f1db7885-7624-4e85-a882-febd1482d0eb_v0,Gunshot,gunshots
394,ed8d991f-9e68-4630-9f2f-4442fdb0be6f_chan4_v0,Gunshot,gunshots
397,f0132c12-d82b-488a-8cfa-8b8efd7259cc_mean_v0,Gunshot,gunshots
398,f415563d-f35f-45e6-a7cf-cc6308490880_v0,Gunshot,gunshots
399,0b296a57-7c53-45cd-924a-59d76c477291_v0,Gunshot,gunshots
401,0b296a57-7c53-45cd-924a-59d76c477291_v2,Gunshot,gunshots
403,0495b86d-2f39-4912-916b-0cfbc160cf3d_mean_v1,Gunshot,gunshots
406,0495b86d-2f39-4912-916b-0cfbc160cf3d_chan6_v1,Gunshot,gunshots
411,fe7bf3b2-7a7a-4a47-9c7d-c6d4354a7cfd_v0,Gunshot,gunshots
413,0b296a57-7c53-45cd-924a-59d76c477291_v1,Gunshot,gunshots
419,11c0a574-3eb7-4b15-aeea-5dc805905a03_v0,Gunshot,gunshots
425,0495b86d-2f39-4912-916b-0cfbc160cf3d_chan0_v1,Gunshot,gunshots
430,ff859858-8234-4314-902b-2b9db5efd098_v0,Gunshot,gunshots
431,0495b86d-2f39-4912-916b-0cfbc160cf3d_chan3_v1,Gunshot,gunshots
434,0b296a57-7c53-45cd-924a-59d76c477291_v6,Gunshot,gunshots
446,1bff3ff9-3bb6-43f3-96cd-abbbf7d84b46_chan2_v0,Gunshot,gunshots
450,1bff3ff9-3bb6-43f3-96cd-abbbf7d84b46_chan4_v0,Gunshot,gunshots
452,1bff3ff9-3bb6-43f3-96cd-abbbf7d84b46_chan1_v0,Gunshot,gunshots
456,1bff3ff9-3bb6-43f3-96cd-abbbf7d84b46_mean_v0,Gunshot,gunshots
457,1f9f6134-5a65-4c68-918d-e37ea70068cb_v4,Gunshot,gunshots
458,1c640d36-5831-494f-9707-4f02debe6a68_v4,Gunshot,gunshots
459,1f9f6134-5a65-4c68-918d-e37ea70068cb_v2,Gunshot,gunshots
462,1bff3ff9-3bb6-43f3-96cd-abbbf7d84b46_chan6_v0,Gunshot,gunshots
463,1c640d36-5831-494f-9707-4f02debe6a68_v3,Gunshot,gunshots
464,1f9f6134-5a65-4c68-918d-e37ea70068cb_v3,Gunshot,gunshots
465,1f9f6134-5a65-4c68-918d-e37ea70068cb_v1,Gunshot,gunshots
471,1c640d36-5831-494f-9707-4f02debe6a68_v2,Gunshot,gunshots
472,1bff3ff9-3bb6-43f3-96cd-abbbf7d84b46_chan5_v0,Gunshot,gunshots
476,1c640d36-5831-494f-9707-4f02debe6a68_v0,Gunshot,gunshots
477,1d815f56-4309-4074-8bdb-cedaf6c0acc9_v2,Gunshot,gunshots
478,1c640d36-5831-494f-9707-4f02debe6a68_v1,Gunshot,gunshots
479,27c95dc1-e509-4bf6-a7a7-31e49f111fb0_v2,Gunshot,gunshots
485,27c95dc1-e509-4bf6-a7a7-31e49f111fb0_v1,Gunshot,gunshots
494,27c95dc1-e509-4bf6-a7a7-31e49f111fb0_v4,Gunshot,gunshots
500,27c95dc1-e509-4bf6-a7a7-31e49f111fb0_v0,Gunshot,gunshots
502,27c95dc1-e509-4bf6-a7a7-31e49f111fb0_v5,Gunshot,gunshots
504,2eabebd8-8ef0-4efe-8248-a99013581760_v0,Gunshot,gunshots
511,379848cc-a90b-41dd-8eff-d5312678a40a_v0,Gunshot,gunshots
532,3c614c69-5845-4058-8120-5e4de147030a_v2,Gunshot,gunshots
539,51e8f00c-9563-46b7-ab98-430ce0e62493_v0,Gunshot,gunshots
540,379848cc-a90b-41dd-8eff-d5312678a40a_v2,Gunshot,gunshots
551,51e8f00c-9563-46b7-ab98-430ce0e62493_v3,Gunshot,gunshots
552,3c614c69-5845-4058-8120-5e4de147030a_v4,Gunshot,gunshots
554,3c614c69-5845-4058-8120-5e4de147030a_v3,Gunshot,gunshots
557,3c614c69-5845-4058-8120-5e4de147030a_v5,Gunshot,gunshots
561,524157e1-fb04-46b2-b887-8fcc84c4261a_chan3_v0,Gunshot,gunshots
563,524157e1-fb04-46b2-b887-8fcc84c4261a_chan5_v0,Gunshot,gunshots
566,54b9c8d4-2a8d-4140-8bd8-3946b7284acb_chan0_v0,Gunshot,gunshots
567,54b9c8d4-2a8d-4140-8bd8-3946b7284acb_chan2_v0,Gunshot,gunshots
568,524157e1-fb04-46b2-b887-8fcc84c4261a_chan1_v0,Gunshot,gunshots
571,524157e1-fb04-46b2-b887-8fcc84c4261a_chan6_v0,Gunshot,gunshots
572,524157e1-fb04-46b2-b887-8fcc84c4261a_chan4_v0,Gunshot,gunshots
574,524157e1-fb04-46b2-b887-8fcc84c4261a_chan2_v0,Gunshot,gunshots
582,54b9c8d4-2a8d-4140-8bd8-3946b7284acb_chan6_v0,Gunshot,gunshots
583,640ba6fd-94c7-4dc7-8efd-0a50166086e3_v2,Gunshot,gunshots
586,67c4b424-f7af-4b3d-8d82-edd7eba0f0ae_v3,Gunshot,gunshots
588,640ba6fd-94c7-4dc7-8efd-0a50166086e3_v3,Gunshot,gunshots
592,640ba6fd-94c7-4dc7-8efd-0a50166086e3_v0,Gunshot,gunshots
595,54b9c8d4-2a8d-4140-8bd8-3946b7284acb_chan4_v0,Gunshot,gunshots
598,54b9c8d4-2a8d-4140-8bd8-3946b7284acb_chan3_v0,Gunshot,gunshots
599,54b9c8d4-2a8d-4140-8bd8-3946b7284acb_mean_v0,Gunshot,gunshots
600,640ba6fd-94c7-4dc7-8efd-0a50166086e3_v5,Gunshot,gunshots
604,640ba6fd-94c7-4dc7-8efd-0a50166086e3_v4,Gunshot,gunshots
605,67c4b424-f7af-4b3d-8d82-edd7eba0f0ae_v0,Gunshot,gunshots
636,7baabd4f-9659-41ff-bb10-d5d823d09b94_v0,Gunshot,gunshots
639,7767a07e-d1e5-43a1-99cb-89d37c1f2aa8_v4,Gunshot,gunshots
643,7767a07e-d1e5-43a1-99cb-89d37c1f2aa8_v3,Gunshot,gunshots
645,7767a07e-d1e5-43a1-99cb-89d37c1f2aa8_v1,Gunshot,gunshots
648,7767a07e-d1e5-43a1-99cb-89d37c1f2aa8_v2,Gunshot,gunshots
650,7767a07e-d1e5-43a1-99cb-89d37c1f2aa8_v0,Gunshot,gunshots
659,7767a07e-d1e5-43a1-99cb-89d37c1f2aa8_v5,Gunshot,gunshots
673,8176af12-402d-4c0b-a2c3-9c0a8878ca8e_v0,Gunshot,gunshots
678,8176af12-402d-4c0b-a2c3-9c0a8878ca8e_v3,Gunshot,gunshots
691,889f15aa-9b06-472b-8a87-85434b13dc0f_mean_v0,Gunshot,gunshots
701,889f15aa-9b06-472b-8a87-85434b13dc0f_chan1_v2,Gunshot,gunshots
702,889f15aa-9b06-472b-8a87-85434b13dc0f_chan1_v1,Gunshot,gunshots
709,8e797a44-9626-4a68-a143-98cc447fbca2_v1,Gunshot,gunshots
710,8e797a44-9626-4a68-a143-98cc447fbca2_v4,Gunshot,gunshots
718,8e797a44-9626-4a68-a143-98cc447fbca2_v5,Gunshot,gunshots
719,8e797a44-9626-4a68-a143-98cc447fbca2_v0,Gunshot,gunshots
720,889f15aa-9b06-472b-8a87-85434b13dc0f_mean_v3,Gunshot,gunshots
721,8e797a44-9626-4a68-a143-98cc447fbca2_v3,Gunshot,gunshots
729,889f15aa-9b06-472b-8a87-85434b13dc0f_mean_v2,Gunshot,gunshots
733,8caa634a-e579-46f6-83df-66bd6c9aef92_v0,Gunshot,gunshots
737,972e5199-b99c-4f49-b006-ec7c2903f2ee_chan3_v0,Gunshot,gunshots
740,972e5199-b99c-4f49-b006-ec7c2903f2ee_chan0_v0,Gunshot,gunshots
745,972e5199-b99c-4f49-b006-ec7c2903f2ee_chan4_v0,Gunshot,gunshots
747,972e5199-b99c-4f49-b006-ec7c2903f2ee_chan2_v0,Gunshot,gunshots
748,972e5199-b99c-4f49-b006-ec7c2903f2ee_chan5_v0,Gunshot,gunshots
749,972e5199-b99c-4f49-b006-ec7c2903f2ee_chan6_v0,Gunshot,gunshots
752,972e5199-b99c-4f49-b006-ec7c2903f2ee_mean_v0,Gunshot,gunshots
759,a27a21fe-c4ef-46ef-9cf9-fbcb8c1c9dc3_v2,Gunshot,gunshots
769,a27a21fe-c4ef-46ef-9cf9-fbcb8c1c9dc3_v5,Gunshot,gunshots
780,a27a21fe-c4ef-46ef-9cf9-fbcb8c1c9dc3_v3,Gunshot,gunshots
781,9b5c4fdb-b0ee-447d-ae1b-1d4576660a4e_v5,Gunshot,gunshots
784,9b5c4fdb-b0ee-447d-ae1b-1d4576660a4e_v2,Gunshot,gunshots
785,a494f4fa-d5fc-4b52-8e25-6804bc695ec1_chan1_v0,Gunshot,gunshots
786,a27a21fe-c4ef-46ef-9cf9-fbcb8c1c9dc3_v4,Gunshot,gunshots
787,a27a21fe-c4ef-46ef-9cf9-fbcb8c1c9dc3_v0,Gunshot,gunshots
789,a27a21fe-c4ef-46ef-9cf9-fbcb8c1c9dc3_v1,Gunshot,gunshots
790,9b5c4fdb-b0ee-447d-ae1b-1d4576660a4e_v1,Gunshot,gunshots
791,a494f4fa-d5fc-4b52-8e25-6804bc695ec1_chan5_v0,Gunshot,gunshots
792,a494f4fa-d5fc-4b52-8e25-6804bc695ec1_chan2_v0,Gunshot,gunshots
